Listing_Title,Listing_Location,Listing_Price_CAD,Mileage_KM,Listing_Url
2020 Toyota corolla,"Toronto, ON",C$130,38K km,https://www.facebook.com/marketplace/item/182670841606495/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$21,995",59K km,https://www.facebook.com/marketplace/item/794727035802937/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$17,980",229K km,https://www.facebook.com/marketplace/item/3521655981433351/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Markham, ON",C$169,73K km,https://www.facebook.com/marketplace/item/310795258217796/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON",C$207,116K km,https://www.facebook.com/marketplace/item/1109844013351090/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Mississauga, ON",C$154,38K km,https://www.facebook.com/marketplace/item/1357751704919477/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$19,895",168K km,https://www.facebook.com/marketplace/item/7073976839390690/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Mississauga, ON","C$22,600",105K km,https://www.facebook.com/marketplace/item/1055070032248804/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$19,999",76K km,https://www.facebook.com/marketplace/item/1518778112304861/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Brampton, ON","C$25,000",71K km,https://www.facebook.com/marketplace/item/911725830502752/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Mississauga, ON",C$165,120K km,https://www.facebook.com/marketplace/item/793126249305617/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Markham, ON","C$23,980",74K km,https://www.facebook.com/marketplace/item/733320865608750/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Markham, ON","C$19,990",141K km,https://www.facebook.com/marketplace/item/1602004010546198/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Mississauga, ON","C$10,000",105K km,https://www.facebook.com/marketplace/item/726459946297513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Mississauga, ON",C$110,62K km,https://www.facebook.com/marketplace/item/1586278475508586/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Guelph, ON","C$24,995",99K km,https://www.facebook.com/marketplace/item/712733317597289/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$22,999",76K km,https://www.facebook.com/marketplace/item/252908731188961/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$21,880",95K km,https://www.facebook.com/marketplace/item/303070056087095/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Burlington, ON","C$22,100",71K km,https://www.facebook.com/marketplace/item/398601062840407/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON",C$160,71K km,https://www.facebook.com/marketplace/item/3751662381745214/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Ajax, ON","C$28,250",14K km,https://www.facebook.com/marketplace/item/690731496586892/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON",C$128,53K km,https://www.facebook.com/marketplace/item/918437449976174/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Whitby, ON","C$22,900",135K km,https://www.facebook.com/marketplace/item/1288207771857634/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON","C$19,999",103K km,https://www.facebook.com/marketplace/item/420789163802942/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Markham, ON","C$19,990",141K km,https://www.facebook.com/marketplace/item/409725525058293/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Brampton, ON","C$25,688",45K km,https://www.facebook.com/marketplace/item/198544023316765/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Toronto, ON",C$135,55K km,https://www.facebook.com/marketplace/item/749102077157939/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Toyota corolla,"Pickering, ON","C$22,995",83K km,https://www.facebook.com/marketplace/item/697477619216904/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
